date,Total,sympinfect,Scenario,hosp,Total.Fraser,Total.Coastal,Total.Island,Total.Interior,Total.Northern
2022-12-18,11627.074805400036,6551.094127720081,worst case,82.16774768282902,3605.974556450757,1995.6553883330798,1524.9814832693628,3159.798319857165,1340.665057489671
2022-12-19,11011.87440722667,6204.46904933211,worst case,77.82016826689475,3339.96777183702,1882.2107701772165,1459.8087908730604,3074.1400158411525,1255.7470584982211
2022-12-20,10441.530792788919,5883.117826788114,worst case,73.78958869395964,3107.1192995654933,1805.8952841645314,1398.762353358019,2959.3763516567187,1170.3775040441562
2022-12-21,9912.581658121184,5585.089678867791,worst case,70.05154109713472,2929.3908958736715,1677.638737586934,1353.8155024644159,2820.584985566891,1131.1515366292704
2022-12-22,9421.827401969937,5308.581840100562,worst case,66.58341411174867,2749.4019811976286,1561.3167466107054,1310.3245307655336,2714.276933943736,1086.5072094523323
2022-12-23,8966.35284507682,5051.951798157202,worst case,63.364606364045855,2561.408116118868,1475.3587264526147,1260.196326465489,2653.0239873167975,1016.3656887230517
2022-12-24,8543.457608004748,4813.678066320802,worst case,60.37603445601359,2414.3785316547733,1369.9523269534445,1206.4106374140397,2589.694462642867,963.0216493396241
2022-12-25,8150.6686237877075,4592.367233544332,worst case,57.60022139142825,2289.8949269028262,1284.211348424777,1138.3933830855192,2485.520883393314,952.6480819812717
2022-12-26,7785.714871450329,4386.7397284459375,worst case,55.02111801935463,2164.720324102816,1200.187510109953,1073.6494099198262,2387.396125674635,959.7615016430993
2022-12-27,7446.51119852165,4195.620704356396,worst case,52.62398870894992,2030.2764247359796,1105.126957975626,1032.094132829064,2319.8516113891224,959.1620715918583
2022-12-28,7131.143600809244,4017.9317454372185,worst case,50.39530732262755,1900.6697525661757,1038.8498839529832,1008.2465438478155,2225.4312749924143,957.9461454498553
2022-12-29,6837.855655371991,3852.683222550557,worst case,48.32266133879754,1820.395969996673,981.112987441664,976.5457017281278,2121.71444373977,938.0865524657556
2022-12-30,6565.035453422202,3698.966930806515,worst case,46.39465950757362,1746.069615263128,922.3407081686408,935.5024717341726,2049.018545253253,912.104113003008
2022-12-31,6311.203457704522,3555.949247992497,worst case,44.60084603969496,1625.2190147047047,873.9231636287594,899.9188231713669,2010.895337204444,901.2471189952479
2023-01-01,6075.002322685066,3422.8653989173954,worst case,42.93162866649438,1540.9503463048522,839.3445275942883,868.9805906281124,1941.1710219894794,884.5558361683346
2023-01-02,5855.186901729505,3299.01382511179,worst case,41.37820802130485,1479.5108229611697,801.961355221407,839.7772985831843,1847.83919639446,886.0982285692837
2023-01-03,5650.613095784862,3183.749901791466,worst case,39.9324988338514,1404.9805635408538,757.3518951986555,815.3939692270947,1776.6700311990937,896.2166366191639
