date,CAN,AB,BC,MB,NB,NL,North,NS,ON,PEI,QC,SK
26 Jun 2022,21488.881028655596,958.8124995072918,1848.6806042268968,411.5428515564894,448.98133990485053,183.65120566856976,138.0787605569826,1407.314247839016,7687.915934733813,131.27125556326965,7998.358819978344,274.27350912007114
25 Jun 2022,20839.93589360499,973.6237674812312,1780.1808617620206,407.39938108850026,399.76720166185805,150.75450243990656,137.34599877641452,1396.9903333494997,7491.684369482764,125.21408780694148,7770.324585082593,206.65080467326135
24 Jun 2022,20205.01778755411,988.8020526417824,1711.978849627803,403.22173497554303,352.72024601512703,120.6701172139336,136.6237576769275,1386.574875721596,7295.161940309882,119.21194920716248,7542.29035018684,147.76191397751015
23 Jun 2022,19584.800383322457,1004.3507855711852,1644.093815504838,399.00580096545684,307.954703260907,93.53983101612248,135.91147820835207,1376.0537407433153,7098.3273655178255,113.2681981654529,7314.25611529109,98.0385490779133
22 Jun 2022,18979.991338907672,1020.2715296616741,1576.5466892925274,394.7469042348204,265.59202473985266,69.51354238943104,135.20842015336308,1365.4106816672709,6901.157238856173,107.38646534229088,7086.2218803953365,57.935962174929976
21 Jun 2022,18573.923745294727,1071.0929120407961,1585.3775816620205,406.45715421844807,265.63890128200524,92.07213843172144,133.31055995146218,1373.439288693245,6622.712728965948,103.94554260140973,6858.187645499586,61.689291948079756
20 Jun 2022,18182.78982295787,1126.6148893153666,1596.162095451829,419.28203380921383,265.94235891056434,119.14982800020445,131.80753786585473,1383.180185194907,6343.853097460059,100.84285714285716,6630.1534106038325,65.80152920318326
19 Jun 2022,17809.88286442498,1187.5086688056142,1609.1731996063932,433.37959712858117,266.5380620587943,151.40534498756463,130.75683890063934,1394.8726777838442,6064.530904699018,99.27428571428572,6402.1191757080815,70.32410903215931
18 Jun 2022,17584.130792936623,1263.825281034545,1636.7125981319032,452.2480016406084,269.44005160491884,191.02728874925114,131.18736856780762,1419.1866552010063,5827.330084218523,97.7057142857143,6219.593937618304,75.87381188404399
17 Jun 2022,17385.38492105963,1349.1324390855027,1668.398269620572,473.32391056566877,272.89933033595173,238.37352640267213,132.29751557966867,1447.1307711687236,5588.52605521621,96.13714285714286,6037.068699528529,82.09726069898787
